Area (m²),Elevation (m),Volume (m³)
15296.27569945381,401.0,29317.861757286468
43339.44781511913,402.0,87103.79217744531
72232.41302519855,403.0,178881.44637416818
111322.89536824718,404.0,308049.9967251115
147014.2053336394,405.0,471635.1673998259
180156.13601578932,406.0,667512.475662276
211598.48050911105,407.0,907154.1282870524
267684.8247404417,408.0,1193534.4011046044
305075.72089466214,409.0,1521129.63900124
350114.7548986095,410.0,1894188.8074490302
396003.5819969709,411.0,2309737.6306175254
435094.06434001954,412.0,2785621.763489422
516674.20140377316,413.0,3336712.5852169665
585507.4420513153,414.0,3950263.199383947
641593.786282646,415.0,4616076.088857395
690031.9926642497,416.0,5350722.2189783845
779260.2675777304,417.0,6157600.762124573
834496.8187146469,418.0,7017166.477124436
884634.6112850788,419.0,7926869.9846947305
934772.4038555108,420.0,8889685.560665907
990858.7480868414,421.0,9917935.204906968
1065640.5403952822,422.0,11013743.400153952
1125975.8500986833,423.0,12174135.870576406
1194809.0907462253,424.0,13397837.92653271
1252595.0211663842,425.0,14690798.119683765
1333325.3651357237,426.0,16059814.794784881
1404707.9850665082,427.0,17495540.227797505
1466742.8809587376,428.0,19001373.591099292
1544923.845644835,429.0,20579439.367426276
1611207.7070091348,430.0,22219540.03964549
1668993.6374292937,431.0,23922950.297398552
1737826.8780768358,432.0,25699442.76127123
1815158.0496685188,433.0,27543493.776149828
1872943.9800886777,434.0,29444905.82490138
1929880.1174144226,435.0,31416425.80394209
2013159.8406670045,436.0,33457203.920177553
2068396.391803921,437.0,35544295.76005858
2105787.2879581414,438.0,37673027.461565904
2151676.1150565026,439.0,39849772.472907625
2201813.9076269343,440.0,42081754.03538626
2262149.2173303356,441.0,44374070.90756829
2322484.527033737,442.0,46730122.26183139
2389618.1814924506,443.0,49144384.44306184
2438906.1809684685,444.0,51612183.589240395
2496692.1113886274,445.0,54133519.70036703
2545980.1108646453,446.0,56709242.56953617
2605465.6274736323,447.0,59343601.16221988
2663251.5578937912,448.0,62030646.92675727
2710839.971180981,449.0,64761881.93220419
2751630.039712858,450.0,67536456.38546622
2797518.866811219,451.0,70358194.35546824
2845957.0731928227,452.0,73228795.42839907
2895245.0726688406,453.0,76150808.98354195
2948782.037616929,454.0,79141230.88278517
3032061.760869511,455.0,82200910.91922314
3087298.3120064274,456.0,85322200.95500614
3155281.7595595554,457.0,88515298.50726712
3230913.3449624106,458.0,91777654.19672285
3293798.033949054,459.0,95109692.91992053
3370279.412446323,460.0,98509290.19412415
3428915.1359608956,461.0,101975596.22623926
3503696.9282693365,462.0,105514559.56792678
3574229.755105707,463.0,109127879.80537553
3652410.719791804,464.0,112813007.55930227
3717844.7880616896,465.0,116560170.20912124
3776480.5115762623,466.0,120371492.23756848
3846163.5453182184,467.0,124255046.67904092
3920945.3376266593,468.0,128212533.11972739
3994027.543746272,469.0,132243526.66308068
4067959.5429602987,470.0,136347177.51600638
4139342.1628910834,471.0,140522635.88541007
4211574.575916282,472.0,144769901.77129173
4282957.195847066,473.0,149089824.96674582
4356889.195061093,474.0,153487929.126886
4439319.125219261,475.0,157971862.389562
4528547.400132742,476.0,162536950.89275455
4601629.606252355,477.0,167188293.39503014
4701055.398298805,478.0,171932263.34459686
4786884.500834629,479.0,176762912.18979383
4874413.189559281,480.0,181685338.6891875
4970439.809228074,481.0,186697418.36004186
5053719.532480655,482.0,191799576.0989041
5150595.945243862,483.0,196991387.00922704
5233025.875402031,484.0,202270301.71172744
5324803.529598753,485.0,207640569.17187735
5415731.390701062,486.0,213101339.59658235
5505809.458708957,487.0,218661110.9167866
5613733.181699548,488.0,224322857.40832055
5709759.801368341,489.0,230092527.62284508
5829580.627680729,490.0,235990941.49117336
5967247.108975814,491.0,242027446.7373439
6105763.383365313,492.0,248193970.32695982
6227283.7958665285,493.0,254481164.53598255
6347104.622178917,494.0,260891153.84714812
6472874.000152203,495.0,267406517.502021
6557853.309593613,496.0,274024281.22477084
6677674.135906002,497.0,280760166.1876442
6794095.789840734,498.0,287607374.0458858
6900319.926642496,499.0,294551033.4203434
6986998.822272735,500.0,301590294.5179226
7091523.372885669,501.0,308742578.09705883
7213043.785386885,502.0,316014257.6059603
7330315.23241603,503.0,323390036.7689275
7421243.093518339,504.0,330875014.3445269
7548712.057680454,505.0,338487885.7808356
7677030.814936983,506.0,346227376.388212
7801950.3998158565,507.0,354092211.47701454
7927719.777789143,508.0,362078142.0817711
8044141.431723875,509.0,370189417.16795367
8178408.740641303,510.0,378431985.2872232
8306727.497897833,511.0,386793949.336258
8417200.600171667,512.0,395278708.4874356
8552317.70218351,513.0,403899859.4302666
8689984.183478594,514.0,412660801.3371288
8831899.630245749,515.0,421553886.07017237
8954269.83584138,516.0,430570615.6984532
9079189.420720253,517.0,439705891.4634048
9191362.109182915,518.0,448955889.2961023
9308633.55621206,519.0,458334205.8860563
9447999.623695973,520.0,467837017.164342
9557622.932875393,521.0,477460923.9585817
9690190.655603992,522.0,487199977.7171145
9787916.861461613,523.0,497054603.33648765
9921334.377284627,524.0,507030324.47181475
10030107.893369632,525.0,517111419.95084924
